Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp Atk,Sp Def,Speed,Generation,Legendary,Img
Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png
Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png
Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png
VenusaurMega Venusaur,Grass,Poison,625,80,100,123,122,120,80,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10033.png
Charmander,Fire,,309,39,52,43,60,50,65,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png
Charmeleon,Fire,,405,58,64,58,80,65,80,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png
Charizard,Fire,Flying,534,78,84,78,109,85,100,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png
CharizardMega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10034.png
CharizardMega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10035.png
Squirtle,Water,,314,44,48,65,50,64,43,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png
Wartortle,Water,,405,59,63,80,65,80,58,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png
Blastoise,Water,,530,79,83,100,85,105,78,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png
BlastoiseMega Blastoise,Water,,630,79,103,120,135,115,78,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10036.png
Caterpie,Bug,,195,45,30,35,20,20,45,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png
Metapod,Bug,,205,50,20,55,25,25,30,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png
Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png
Weedle,Bug,Poison,195,40,35,30,20,20,50,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png
Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png
Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png
BeedrillMega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10090.png
Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png
Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png
Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png
PidgeotMega Pidgeot,Normal,Flying,579,83,80,80,135,80,121,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10073.png
Rattata,Normal,,253,30,56,35,25,35,72,1,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png
